year,ege_budg,total_income
2013,63.03,1183805.084
2014,57.6,1258764.5
2015,58.58,1192261.0
2016,60.76,760364.6
2017,61.82,741335.0
2013,66.89,491475.712
2014,62.26,536624.2
2015,62.58,541536.6
2016,64.56,535494.3
2017,64.85,528212.1
2013,63.62,1183811.508
2014,60.65,1253954.4
2015,60.49,1133107.4
2016,60.15,1123442.4
2017,61.95,1114642.0
2013,72.76,1241514.834
2014,67.55,1190495.9
2015,68.21,1416727.2
2016,70.04,1750415.7
2017,69.49,1629199.2
2013,56.9,810646.85
2014,58.31,848031.5
2015,57.5,883140.7
2016,60.35,811453.6
2017,61.23,802098.3
2013,60.0,305758.82
2014,58.54,315271.5
2015,57.11,315783.5
2016,59.8,277414.2
2017,58.2,315949.0
2013,51.82,284913.47199999995
2014,50.4,288189.5
2015,50.45,255862.4
2016,50.75,227379.9
2017,51.58,230284.8
2013,63.26,324684.126
2014,63.32,359865.9
2015,63.86,368176.5
2016,67.42,366844.4
2017,66.25,363830.7
2013,63.27,1088136.0
2014,61.59,1199153.4
2015,63.06,925621.1
2016,64.68,893238.5
2017,66.02,1003187.8
2013,72.23,1317194.76
2014,68.76,1391439.4
2015,71.06,1461731.0
2016,72.24,1440394.9
2017,73.15,1318474.9
2013,63.64,857218.1075
2014,65.7,916648.8
2015,66.93,971308.8
2016,68.86,1132745.6
2017,68.42,1324286.7
2013,63.0,953815.7819999999
2014,59.74,1028518.9
2015,61.61,995990.2
2016,63.04,1070956.4
2017,64.78,1070590.7
2013,68.35,1419709.2
2014,64.23,1597272.3
2015,65.36,1527050.5
2016,67.19,1656207.9
2017,68.04,1570378.5
2013,72.39,1384141.934
2014,62.54,1604247.4
2015,62.61,1465362.3
2016,62.51,1434874.2
2017,64.86,1548156.6
2013,71.93,3167639.592
2014,65.76,3065723.9
2015,68.47,3183637.4
2016,70.04,2837909.4
2017,69.03,2927744.9
2013,58.22,250425.742
2014,59.74,236832.3
2015,61.85,208288.4
2016,65.68,180648.0
2017,59.59,188887.0
2013,53.97,469310.39999999997
2014,55.32,488382.9
2015,56.81,501685.9
2016,58.97,413620.5
2017,60.38,478467.9
2013,56.66,662651.4195000001
2014,57.98,795037.7
2015,60.45,643424.9
2016,55.12,658758.0
2017,54.73,585367.5
2013,61.63,321124.792
2014,54.38,329924.5
2015,56.05,328925.1
2016,53.67,284893.3
2017,56.45,291064.5
2013,67.39,454745.02200000006
2014,59.34,584051.2
2015,58.97,524803.8
2016,60.08,636536.7
2017,59.63,591504.6
2013,69.29,575376.491
2014,64.42,568081.1
2015,67.1,576912.6
2016,69.33,557175.0
2017,71.37,571466.2
2013,62.23,1148336.22
2014,60.92,988450.7
2015,61.07,1053933.6
2016,61.17,986743.2
2017,62.15,854563.5
2013,67.43,1943902.7850000001
2014,67.99,1837325.7
2015,69.34,1698955.3
2016,69.98,1501951.7
2017,70.42,1465409.1
2013,64.6,1616045.7914999998
2014,61.64,1701960.4
2015,62.75,1711125.6
2016,63.68,1638454.1
2017,63.41,1745623.9
2013,58.82,466440.47599999997
2014,54.84,483336.0
2013,67.21,604142.651
2014,64.71,596409.2
2016,70.15,614125.0
2017,70.84,685177.1
2013,61.01,1193469.564
2014,57.85,1292344.5
2015,58.93,1290643.1
2016,59.67,1841913.1
2017,58.07,2045584.7
2013,69.97,888649.1399999999
2014,65.2,821933.1
2015,64.79,884415.4
2016,64.91,907451.2
2017,67.39,877672.4
2013,58.67,652740.5160000001
2014,59.83,1023589.0
2015,60.45,968269.5
2016,60.0,918543.4
2017,60.85,909078.3
2013,54.62,420622.42799999996
2014,51.57,423720.2
2015,51.99,407968.9
2016,59.13,395895.5
2017,65.08,496547.5
2013,64.02,596221.4875
2014,60.14,626196.8
2015,59.76,668503.0
2016,59.69,659386.4
2017,60.24,665673.6
2013,66.43,881744.304
2014,65.45,985058.6
2013,65.27,297317.34
2014,62.81,428717.2
2015,69.76,484181.3
2016,68.53,481255.8
2017,67.77,493545.3
2013,64.85,1008011.97
2014,58.62,892053.1
2015,61.41,896482.7
2016,65.16,2080022.4
